poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,yes,no,alternate_answers
88351,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/21/2024,9/24/2024,,,,210670,1622,a,,a,,9/25/2024 9:36,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Khpw06c.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Khpw06c.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_YtkV7hy.pdf,,,,34,53,13
88351,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/21/2024,9/24/2024,,,,210671,1424,rv,,rv,,9/25/2024 9:36,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_YtkV7hy.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_YtkV7hy.pdf,,,,38,53,8
88351,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/21/2024,9/24/2024,,,,210672,1236,lv,,lv,,9/25/2024 9:36,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_YtkV7hy.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_YtkV7hy.pdf,,,,38,54,8
88208,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/15/2024,9/17/2024,,,,209862,1592,a,,a,,9/18/2024 9:57,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_4AQTHJt.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_4AQTHJt.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,,,,36,49,15
88208,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/15/2024,9/17/2024,,,,209863,1445,rv,,rv,,9/18/2024 9:57,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dUFR0mV.pdf,,,,42,51,8
88130,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/8/2024,9/10/2024,,,,209134,1626,a,,a,,9/11/2024 9:46,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_zfe6xV0.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_zfe6xV0.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,,,,36,50,15
88130,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/8/2024,9/10/2024,,,,209135,1464,rv,,rv,,9/11/2024 9:46,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,,,,39,52,9
88021,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/1/2024,9/3/2024,,,,207723,1544,a,,a,,9/4/2024 9:33,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_H6rLeqi.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_H6rLeqi.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HIwtch9.pdf,,,,35,50,15
88021,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,9/1/2024,9/3/2024,,,,207724,1389,rv,,rv,,9/4/2024 9:33,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HIwtch9.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HIwtch9.pdf,,,,40,52,8
87920,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/25/2024,8/27/2024,,,,207160,1555,a,,a,,8/28/2024 10:05,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_QiKoTUQ.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_QiKoTUQ.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EQQr3lh.pdf,,,,37,50,13
87920,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/25/2024,8/27/2024,,,,207161,1368,rv,,rv,,8/28/2024 10:05,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EQQr3lh.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EQQr3lh.pdf,,,,42,51,7
87853,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/17/2024,8/20/2024,,,,206504,1565,a,,a,,8/21/2024 9:43,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_m7wODye.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_m7wODye.pdf,,,,,34,51,15
87853,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/17/2024,8/20/2024,,,,206505,1371,rv,,rv,,8/21/2024 9:43,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Dgf6Oqh.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Dgf6Oqh.pdf,,,,40,52,8
87760,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/11/2024,8/13/2024,,,,205786,1567,a,,a,,8/14/2024 10:00,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_W3lebBm.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_W3lebBm.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8IEdK8V.pdf,,,,37,50,14
87760,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,,8/11/2024,8/13/2024,,,,205787,1407,rv,,rv,,8/14/2024 10:00,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8IEdK8V.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8IEdK8V.pdf,,,,42,51,8
